"ID","Question","Answer1","Answer2","Answer3","Answer4","Answer5","Answer6","Level","Class","Source","Correct","Add2","Add3","Add4"
"3","In a class composed of x girls and y boys what part of the class is composed of girls","y/(x + y)","x/xy","x/(x + y)","y/xy","","","","","","C","","",""
"6","What is the maximum number of half-pint bottles of cream that can be filled with a 4-gallon can of cream(2 pt.=1 qt. and 4 qt.=1 gal)
","16","24","30","64","","","","","","D","","",""
"7","If the operation,^ is defined by the equation x ^ y = 2x + y,what is the value of a in 2 ^ a = a ^ 3","0","1","-1","4","","","","","","B","","",""
"8","A coffee shop blends 2 kinds of coffee,putting in 2 parts of a 33p. a gm. grade to 1 part of a 24p. a gm.If the mixture is changed to 1 part of the 33p. a gm. to 2 parts of the less expensive grade,how much will the shop save in blending 100 gms.","Rs. 90","Rs. 1","Rs. 3","Rs. 8","","","","","","C","","",""
"9","There are 200 questions on a 3 hr examination.Among these questions are 50 mathematics problems.It is suggested that twice as much time be spent on each maths problem as for each other question.How many minutes should be spent on mathematics problems","36","72","60","100","","","","","","B","","",""
"11","In a group of 15,7 have studied Latin, 8 have studied Greek, and 3 have not studied either.How many of these studied both Latin and Greek","0","3","4","5","","","","","","B","","",""
"12","If 13 = 13w/(1-w) ,then (2w)2 =","b < a","b > a","b = a","b >= a","","","","","","A","","",""
"13","In june a baseball team that played 60 games had won 30% of its game played. After a phenomenal winning streak this team raised its average to 50% .How many games must the team have won in a row to attain this average?","12","20","24","30","","","","","","C","","",""
"14","M men agree to purchase a gift for Rs. D. If three men drop out how much more will each have to contribute towards the purchase of the gift","D/(M-3)","MD/3","M/(D-3)","3D/(M2-3M)","","","","","","D","","",""
"15","A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?","7","8","11","12","","","","","","C","","",""
"16","2 hours after a freight train leaves Delhi a passenger train leaves the same station travelling in the same direction at an average speed of 16 km/hr. After travelling 4 hrs the passenger train overtakes the freight train. The average speed of the freight train was?","30","40","58","60","","","","","","B","","",""
"17","If 9x-3y=12 and 3x-5y=7 then 6x-2y = ?","-5","4","2","8","","","","","","D","","",""
"18","There are 5 red shoes, 4 green shoes. If one draw randomly a shoe what is the probability of getting a red shoe ?","","","","","","","","","","5c1/ 9c1","","",""
"19","What is the selling price of a car? If the cost of the car is Rs.60 and a profit of 10% over selling price is earned ","","","","","","","","","","Rs. 66/-","","",""
"20","1/3 of girls , 1/2 of boys go to canteen .What factor and total number of classmates go to canteen.","","","","","","","","","","Cannot be determined.","","",""
"21","The price of a product is reduced by 30% . By what percentage should it be increased to make it 100%.","","","","","","","","","","42.857%","","",""
"22","There is a square of side 6cm . A circle is inscribed inside the square. Find the ratio of the area of circle to square.","","","","","","","","","","11/14","","",""
"23","There are two candles of equal lengths and of different thickness. The thicker one lasts of six hours. The thinner 2 hours less than the thicker one. Ramesh lights the two candles at the same time. When he went to bed he saw the thicker one is twice the length of the thinner one. How long ago did Ramesh light the two candles .","","","","","","","","","","3 hrs","","",""
"24","If M/N = 6/5,then 3M+2N = ?
If p/q = 5/4 , then 2p+q= ?
If PQRST is a parallelogram what it the ratio of triangle PQS & parallelogram PQRST .","","","","","","","","","","1:2","","",""
"25","The cost of an item is Rs 12.60. If the profit is 10% over selling price what is the selling price ?","","","","","","","","","","Rs 13.86/-","","",""
"26","There are 6 red shoes & 4 green shoes . If two of red shoes are drawn what is the probability of getting red shoes","","","","","","","","","","6c2/10c2","","",""
"27","To 15 lts of water containing 20% alcohol, we add 5 lts of pure water. What is % alcohol. ","","","","","","","","","","15%","","",""
"28","A worker is paid Rs.20/- for a full days work. He works 1,1/3,2/3,1/8,3/4 days in a week. What is the total amount paid for that worker ? ","","","","","","","","","","Rs. 57.50","","",""
"29","If the value of x lies between 0 & 1 which of the following is the largest?","x","x^2","x^x","1/x","","","","","","D","","",""
"30","If the total distance of a journey is 120 km .If one goes by 60 kmph and comes back at 40kmph what is the average speed during the journey?","","","","","","","","","","48kmph","","",""
"31","A school has 30% students from Maharashtra .Out of these 20% are Bombey students. Find the total percentage of Bombay?","","","","","","","","","","6%","","",""
"32","An equilateral triangle of sides 3 inch each is given. How many equilateral triangles of side 1 inch can be formed from it?","","","","","","","","","","9","","",""
"33","If A/B = 3/5,then 15A = ?","","","","","","","","","","9B","","",""
"34","Each side of a rectangle is increased by 100% .By what percentage does the area increase? ","","","","","","","","","","300%","","",""
"35","Perimeter of the back wheel = 9 feet, front wheel = 7 feet on a certain distance, the front wheel gets 10 revolutions more than the back wheel .What is the distance? Perimeter of front wheel =30, back wheel = 20. If front wheel revolves 240 times. How many revolutions will the back wheel take?","","","","","","","","","","315 feet; 360 times","","",""
"36","20% of a 6 litre solution and 60% of 4 litre solution are mixed. What percentage of the mixture of solution","","","","","","","","","","36%","","",""
